SITE,YEAR,BBH,BBH_LOG,BBH_PROP,BCR,BCR_LOG,BCR_PROP,BGS,BGS_LOG,BGS_PROP,BLP,BLP_LOG,BLP_PROP,BRB,BRB_LOG,BRB_PROP,CCF,CCF_LOG,CCF_PROP,CHN,CHN_LOG,CHN_PROP,COT,COT_LOG,COT_PROP,CRP,CRP_LOG,CRP_PROP,FHM,FHM_LOG,FHM_PROP,GLF,GLF_LOG,GLF_PROP,GSF,GSF_LOG,GSF_PROP,GSH,GSH_LOG,GSH_PROP,ISS,ISS_LOG,ISS_PROP,LEP,LEP_LOG,LEP_PROP,LMB,LMB_LOG,LMB_PROP,MSQ,MSQ_LOG,MSQ_PROP,PKM,PKM_LOG,PKM_PROP,PLR,PLR_LOG,PLR_PROP,PMK,PMK_LOG,PMK_PROP,RBT,RBT_LOG,RBT_PROP,RCH,RCH_LOG,RCH_PROP,RES,RES_LOG,RES_PROP,RSH,RSH_LOG,RSH_PROP,SAP,SAP_LOG,SAP_PROP,SBF,SBF_LOG,SBF_PROP,SBK,SBK_LOG,SBK_PROP,SKR,SKR_LOG,SKR_PROP,SMB,SMB_LOG,SMB_PROP,SPB,SPB_LOG,SPB_PROP,STB,STB_LOG,STB_PROP,TUP,TUP_LOG,TUP_PROP,WCF,WCF_LOG,WCF_PROP,WRM,WRM_LOG,WRM_LOG,YFG,YFG_LOG,YFG_PROP,sumofcaught
1,1993,0,0,0,0,0,0,7,0.903089987,0.026717557,1,0.301029996,0.003816794,0,0,0,0,0,0,0,0,0,57,1.763427994,0.217557252,2,0.477121255,0.007633588,0,0,0,3,0.602059991,0.011450382,4,0.698970004,0.015267176,0,0,0,0,0,0,0,0,0,21,1.342422681,0.080152672,0,0,0,3,0.602059991,0.011450382,0,0,0,0,0,0,15,1.204119983,0.057251908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1.62324929,0.15648855,101,2.008600172,0.385496183,0,0,0,0,0,0,0,0,0,7,0.903089987,0.026717557,0,0,0,0,0,0,0,0,0,262
1,1994,0,0,0,0,0,0,2,0.477121255,0.008474576,1,0.301029996,0.004237288,0,0,0,0,0,0,0,0,0,33,1.531478917,0.139830508,0,0,0,0,0,0,0,0,0,1,0.301029996,0.004237288,0,0,0,0,0,0,0,0,0,21,1.342422681,0.088983051,1,0.301029996,0.004237288,2,0.477121255,0.008474576,2,0.477121255,0.008474576,0,0,0,1,0.301029996,0.004237288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1.819543936,0.275423729,102,2.012837225,0.43220339,0,0,0,0,0,0,0,0,0,5,0.77815125,0.021186441,0,0,0,0,0,0,0,0,0,236
1,1995,0,0,0,0,0,0,1,0.301029996,0.003875969,0,0,0,0,0,0,0,0,0,0,0,0,131,2.120573931,0.507751938,0,0,0,0,0,0,0,0,0,2,0.477121255,0.007751938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.255272505,0.065891473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.041392685,0.03875969,89,1.954242509,0.34496124,0,0,0,0,0,0,0,0,0,8,0.954242509,0.031007752,0,0,0,0,0,0,0,0,0,258
1,1996,0,0,0,0,0,0,9,1,0.031034483,7,0.903089987,0.024137931,0,0,0,0,0,0,0,0,0,40,1.612783857,0.137931034,6,0.84509804,0.020689655,0,0,0,0,0,0,18,1.278753601,0.062068966,0,0,0,0,0,0,0,0,0,1,0.301029996,0.003448276,0,0,0,69,1.84509804,0.237931034,0,0,0,0,0,0,2,0.477121255,0.006896552,3,0.602059991,0.010344828,0,0,0,0,0,0,0,0,0,0,0,0,80,1.908485019,0.275862069,54,1.740362689,0.186206897,0,0,0,0,0,0,0,0,0,1,0.301029996,0.003448276,0,0,0,0,0,0,0,0,0,290
1,1997,0,0,0,0,0,0,6,0.84509804,0.028846154,0,0,0,0,0,0,0,0,0,0,0,0,73,1.86923172,0.350961538,4,0.698970004,0.019230769,0,0,0,2,0.477121255,0.009615385,12,1.113943352,0.057692308,0,0,0,0,0,0,0,0,0,1,0.301029996,0.004807692,0,0,0,17,1.255272505,0.081730769,0,0,0,0,0,0,6,0.84509804,0.028846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1.544068044,0.163461538,51,1.716003344,0.245192308,2,0.477121255,0.009615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208
1,1998,1,0.301029996,0.005813953,0,0,0,18,1.278753601,0.104651163,3,0.602059991,0.01744186,0,0,0,0,0,0,0,0,0,32,1.51851394,0.186046512,1,0.301029996,0.005813953,0,0,0,2,0.477121255,0.011627907,57,1.763427994,0.331395349,0,0,0,0,0,0,1,0.301029996,0.005813953,0,0,0,0,0,0,2,0.477121255,0.011627907,0,0,0,0,0,0,10,1.041392685,0.058139535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.230448921,0.093023256,28,1.462397998,0.162790698,0,0,0,0,0,0,0,0,0,1,0.301029996,0.005813953,0,0,0,0,0,0,0,0,0,172
1,1999,0,0,0,0,0,0,26,1.431363764,0.050485437,0,0,0,0,0,0,0,0,0,0,0,0,68,1.838849091,0.132038835,0,0,0,0,0,0,1,0.301029996,0.001941748,16,1.230448921,0.031067961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.954242509,0.015533981,9,1,0.017475728,0,0,0,26,1.431363764,0.050485437,4,0.698970004,0.00776699,0,0,0,0,0,0,0,0,0,0,0,0,34,1.544068044,0.066019417,323,2.51054501,0.627184466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515
1,2000,0,0,0,0,0,0,11,1.079181246,0.020560748,0,0,0,0,0,0,0,0,0,0,0,0,138,2.1430148,0.257943925,0,0,0,0,0,0,0,0,0,9,1,0.01682243,0,0,0,0,0,0,0,0,0,3,0.602059991,0.005607477,0,0,0,30,1.491361694,0.056074766,9,1,0.01682243,0,0,0,61,1.792391689,0.114018692,1,0.301029996,0.001869159,0,0,0,0,0,0,0,0,0,0,0,0,67,1.832508913,0.125233645,206,2.315970345,0.385046729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535
1,2001,0,0,0,0,0,0,4,0.698970004,0.012345679,0,0,0,0,0,0,0,0,0,0,0,0,60,1.785329835,0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1.113943352,0.037037037,2,0.477121255,0.00617284,0,0,0,81,1.913813852,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1.763427994,0.175925926,108,2.037426498,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324
1,2002,0,0,0,0,0,0,2,0.477121255,0.004739336,0,0,0,0,0,0,0,0,0,0,0,0,85,1.934498451,0.201421801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.477121255,0.004739336,2,0.477121255,0.004739336,0,0,0,0,0,0,94,1.977723605,0.222748815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,2.29666519,0.466824645,40,1.612783857,0.09478673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422
