FishID,FishTypeID,Status ,Length,SiteID,TripID,Date_start,Year,,
22219,SKR,N,132,1,17,10/16/00,2000,,
22220,SKR,N,91,1,17,10/16/00,2000,,
22221,SKR,N,92,1,17,10/16/00,2000,,
22222,SKR,N,103,1,17,10/16/00,2000,,
22223,SKR,N,74,1,17,10/16/00,2000,,
22224,SKR,N,146,1,17,10/16/00,2000,,
22225,SKR,N,89,1,17,10/16/00,2000,,
22226,SKR,N,155,1,17,10/16/00,2000,,
22227,SKR,N,150,1,17,10/16/00,2000,,
22228,SKR,N,98,1,17,10/16/00,2000,,
22229,SKR,N,94,1,17,10/16/00,2000,,
22230,SKR,N,96,1,17,10/16/00,2000,,
22231,SKR,N,94,1,17,10/16/00,2000,,
22232,SKR,N,64,1,17,10/16/00,2000,,
22233,SKR,N,74,1,17,10/16/00,2000,,
22234,SKR,N,71,1,17,10/16/00,2000,,
22235,SKR,N,73,1,17,10/16/00,2000,,
22236,SKR,N,67,1,17,10/16/00,2000,,
22237,SKR,N,114,1,17,10/16/00,2000,,
22238,SKR,N,122,1,17,10/16/00,2000,,
22239,SKR,N,98,1,17,10/16/00,2000,,
22240,SKR,N,114,1,17,10/16/00,2000,,
22241,SKR,N,52,1,17,10/16/00,2000,,
22242,SKR,N,72,1,17,10/16/00,2000,,
22243,SKR,N,90,1,17,10/16/00,2000,,
22244,SKR,N,81,1,17,10/16/00,2000,,
22245,SKR,N,93,1,17,10/16/00,2000,,
22246,SKR,N,80,1,17,10/16/00,2000,,
22247,SKR,N,62,1,17,10/16/00,2000,,
22248,SKR,N,73,1,17,10/16/00,2000,,
22249,SKR,N,80,1,17,10/16/00,2000,,
22250,SKR,N,59,1,17,10/16/00,2000,,
22251,SKR,N,72,1,17,10/16/00,2000,,
22252,SKR,N,86,1,17,10/16/00,2000,,
22253,SKR,N,102,1,17,10/16/00,2000,,
22254,SKR,N,75,1,17,10/16/00,2000,,
22255,SKR,N,83,1,17,10/16/00,2000,,
22256,SKR,N,81,1,17,10/16/00,2000,,
22257,SKR,N,123,1,17,10/16/00,2000,,
22258,SKR,N,65,1,17,10/16/00,2000,,
22259,SKR,N,76,1,17,10/16/00,2000,,
22260,SKR,N,85,1,17,10/16/00,2000,,
22261,SKR,N,95,1,17,10/16/00,2000,,
22262,SKR,N,78,1,17,10/16/00,2000,,
22263,SKR,N,86,1,17,10/16/00,2000,,
22264,SKR,N,66,1,17,10/16/00,2000,,
22265,SKR,N,88,1,17,10/16/00,2000,,
22266,SKR,N,76,1,17,10/16/00,2000,,
22267,SKR,N,78,1,17,10/16/00,2000,,
22268,SKR,N,73,1,17,10/16/00,2000,,
22269,SKR,N,73,1,17,10/16/00,2000,,
22270,SKR,N,48,1,17,10/16/00,2000,,
22271,SKR,N,77,1,17,10/16/00,2000,,
22272,SKR,N,73,1,17,10/16/00,2000,,
22273,SKR,N,71,1,17,10/16/00,2000,,
22274,SKR,N,70,1,17,10/16/00,2000,,
22275,SKR,N,67,1,17,10/16/00,2000,,
22276,SKR,N,52,1,17,10/16/00,2000,,
22277,SKR,N,82,1,17,10/16/00,2000,,
22278,SKR,N,90,1,17,10/16/00,2000,,
22279,SKR,N,44,1,17,10/16/00,2000,,
22280,SKR,N,42,1,17,10/16/00,2000,,
22281,SKR,N,78,1,17,10/16/00,2000,,
22282,SKR,N,89,1,17,10/16/00,2000,,
22283,SKR,N,76,1,17,10/16/00,2000,,
22284,SKR,N,43,1,17,10/16/00,2000,,
22285,SKR,N,146,1,17,10/16/00,2000,,
22286,SKR,N,88,1,17,10/16/00,2000,,
22287,SKR,N,98,1,17,10/16/00,2000,,
22288,SKR,N,121,1,17,10/16/00,2000,,
22289,SKR,N,104,1,17,10/16/00,2000,,
22290,SKR,N,118,1,17,10/16/00,2000,,
22291,SKR,N,75,1,17,10/16/00,2000,,
22292,SKR,N,66,1,17,10/16/00,2000,,
22293,SKR,N,106,1,17,10/16/00,2000,,
22294,SKR,N,110,1,17,10/16/00,2000,,
22295,SKR,N,120,1,17,10/16/00,2000,,
22296,SKR,N,80,1,17,10/16/00,2000,,
22297,SKR,N,75,1,17,10/16/00,2000,,
22298,SKR,N,72,1,17,10/16/00,2000,,
22299,SKR,N,82,1,17,10/16/00,2000,,
22300,SKR,N,73,1,17,10/16/00,2000,,
22301,SKR,N,74,1,17,10/16/00,2000,,
22302,SKR,N,71,1,17,10/16/00,2000,,
22303,SKR,N,69,1,17,10/16/00,2000,,
22304,SKR,N,45,1,17,10/16/00,2000,,
22305,SKR,N,44,1,17,10/16/00,2000,,
22306,SKR,N,106,1,17,10/16/00,2000,,
22307,SKR,N,77,1,17,10/16/00,2000,,
22308,SKR,N,85,1,17,10/16/00,2000,,
22309,SKR,N,130,1,17,10/16/00,2000,,
22310,SKR,N,77,1,17,10/16/00,2000,,
22311,SKR,N,80,1,17,10/16/00,2000,,
22312,SKR,N,78,1,17,10/16/00,2000,,
22313,SKR,N,81,1,17,10/16/00,2000,,
22314,SKR,N,85,1,17,10/16/00,2000,,
22315,SKR,N,116,1,17,10/16/00,2000,,
22316,SKR,N,71,1,17,10/16/00,2000,,
22317,SKR,N,78,1,17,10/16/00,2000,,
22318,SKR,N,115,1,17,10/16/00,2000,,
22319,SKR,N,78,1,17,10/16/00,2000,,
22320,SKR,N,67,1,17,10/16/00,2000,,
22321,SKR,N,125,1,17,10/16/00,2000,,
22322,SKR,N,116,1,17,10/16/00,2000,,
22323,SKR,N,68,1,17,10/16/00,2000,,
22324,SKR,N,68,1,17,10/16/00,2000,,
22325,SKR,N,70,1,17,10/16/00,2000,,
22326,SKR,N,64,1,17,10/16/00,2000,,
22327,SKR,N,126,1,17,10/16/00,2000,,
22328,SKR,N,42,1,17,10/16/00,2000,,
22329,SKR,N,88,1,17,10/16/00,2000,,
22330,SKR,N,70,1,17,10/16/00,2000,,
22331,SKR,N,70,1,17,10/16/00,2000,,
22332,SKR,N,50,1,17,10/16/00,2000,,
22333,SKR,N,126,1,17,10/16/00,2000,,
22334,SKR,N,90,1,17,10/16/00,2000,,
22335,SKR,N,75,1,17,10/16/00,2000,,
22336,SKR,N,86,1,17,10/16/00,2000,,
22337,SKR,N,108,1,17,10/16/00,2000,,
22338,SKR,N,97,1,17,10/16/00,2000,,
22339,SKR,N,68,1,17,10/16/00,2000,,
22340,SKR,N,71,1,17,10/16/00,2000,,
22341,SKR,N,71,1,17,10/16/00,2000,,
22342,SKR,N,86,1,17,10/16/00,2000,,
22343,SKR,N,79,1,17,10/16/00,2000,,
22344,SKR,N,85,1,17,10/16/00,2000,,
22345,SKR,N,83,1,17,10/16/00,2000,,
22346,SKR,N,80,1,17,10/16/00,2000,,
22347,SKR,N,118,1,17,10/16/00,2000,,
22348,SKR,N,70,1,17,10/16/00,2000,,
22349,SKR,N,77,1,17,10/16/00,2000,,
22350,SKR,N,67,1,17,10/16/00,2000,,
22351,SKR,N,84,1,17,10/16/00,2000,,
22352,SKR,N,75,1,17,10/16/00,2000,,
22353,SKR,N,67,1,17,10/16/00,2000,,
22354,SKR,N,117,1,17,10/16/00,2000,,
22355,SKR,N,73,1,17,10/16/00,2000,,
22356,SKR,N,77,1,17,10/16/00,2000,,
22357,SKR,N,80,1,17,10/16/00,2000,,
22358,SKR,N,96,1,17,10/16/00,2000,,
9268,WCF,NN,227,3,9,10/17/96,1996,,
12807,WCF,NN,163,10,11,10/20/97,1997,,
17757,WCF,NN,63,5,15,10/18/99,1999,,
22359,SKR,N,116,1,17,10/16/00,2000,,
22360,SKR,N,72,1,17,10/16/00,2000,,
22361,SKR,N,82,1,17,10/16/00,2000,,
22362,SKR,N,102,1,17,10/16/00,2000,,
22363,SKR,N,75,1,17,10/16/00,2000,,
22364,SKR,N,75,1,17,10/16/00,2000,,
22365,SKR,N,76,1,17,10/16/00,2000,,
22366,SKR,N,76,1,17,10/16/00,2000,,
22367,SKR,N,130,1,17,10/16/00,2000,,
22368,SKR,N,82,1,17,10/16/00,2000,,
22369,SKR,N,125,1,17,10/16/00,2000,,
22370,SKR,N,82,1,17,10/16/00,2000,,
22371,SKR,N,102,1,17,10/16/00,2000,,
22372,SKR,N,58,1,17,10/16/00,2000,,
22373,SKR,N,88,1,17,10/16/00,2000,,
34517,WCF,NN,180,9,21,10/14/02,2002,,
34899,WCF,NN,193,10,21,10/14/02,2002,,
43272,WCF,NN,155,10,24,10/13/03,2003,,
43346,WCF,NN,178,10,24,10/13/03,2003,,
43806,WCF,NN,66,5,24,10/13/03,2003,,
48546,WCF,NN,71,6,28,10/18/04,2004,,
52105,WCF,NN,188,10,31,10/17/05,2005,,
52360,WCF,NN,57,9,31,10/17/05,2005,,
