Year ,SiteA_N1,SiteA_NN1,SiteB_N,SiteB_NN,SiteC_N,SiteC_NN,SiteD_N,SiteD_NN,SiteE_N,SiteE_NN,SiteF_N,SiteF_NN,Meanup_N,Meanup_NN,Meandown_N,Meandown_NN
1993,6,6,3,7,3,11,3,6,3,8,3,12,4,8,3,8.666666667
1994,7,5,4,6,4,8,3,10,3,9,2,9,5,6.333333333,2.666666667,9.333333333
1995,5,2,5,9,1,9,5,12,1,12,3,10,3.666666667,6.666666667,3,11.33333333
1996,7,5,2,7,5,7,3,9,3,10,5,12,4.666666667,6.333333333,3.666666667,10.33333333
1997,5,6,6,7,3,6,3,9,1,8,0,13,4.666666667,6.333333333,1.333333333,10
1998,6,7,6,4,4,9,4,8,1,9,2,8,5.333333333,6.666666667,2.333333333,8.333333333
1999,7,3,5,4,6,5,3,4,1,9,2,10,6,4,2,7.666666667
2000,7,3,5,4,3,7,3,10,NA,NA,1,14,5,4.666666667,2,12
2001,6,1,4,2,5,8,5,8,NA,NA,3,17,5,3.666666667,4,12.5
2002,5,2,6,2,4,6,4,10,2,9,3,9,5,3.333333333,3,9.333333333
2003,8,5,7,0,5,8,3,7,2,6,2,9,6.666666667,4.333333333,2.333333333,7.333333333
2004,7,7,7,0,4,5,4,9,0,7,1,16,6,4,1.666666667,10.66666667
2005,7,6,6,1,4,5,4,6,3,10,3,11,5.666666667,4,3.333333333,9
2006,6,4,7,1,4,3,4,8,4,10,3,12,5.666666667,2.666666667,3.666666667,10
2007,6,1,6,1,4,4,3,7,1,9,3,10,5.333333333,2,2.333333333,8.666666667
2008,5,0,6,1,4,5,4,6,3,8,3,12,5,2,3.333333333,8.666666667
2010,6,1,6,1,4,5,3,8,1,8,2,12,5.333333333,2.333333333,2,9.333333333
2011,NA,NA,NA,NA,NA,NA,NA,NA,3,8,4,8,NA,NA,3.5,8
2012,5,0,6,0,4,2,3,7,1,7,2,10,5,0.666666667,2,8
2013,NA,NA,6,0,4,2,4,4,2,6,3,11,5,1,3,7
2014,6,1,6,1,4,3,4,5,1,10,4,11,5.333333333,1.666666667,3,8.666666667
2015,7,1,6,2,4,1,4,7,0,7,3,11,5.666666667,1.333333333,2.333333333,8.333333333
2016,7,4,5,1,3,3,4,7,1,5,2,8,5,2.666666667,2.333333333,6.666666667
2017,6,0,NA,NA,4,3,4,8,2,11,0,7,5,1.5,2,8.666666667
