,A,B,C,D,E,F
1993,0.714,0.604,0.833,0.745,0.490,0.347
1994,0.605,0.633,0.678,0.590,0.380,0.213
1995,0.608,0.790,0.606,0.626,0.439,0.451
1996,0.746,0.738,0.769,0.638,0.488,0.513
1997,0.739,0.870,0.836,0.780,0.594,0.629
1998,0.737,0.636,0.552,0.806,0.597,0.636
1999,0.579,0.703,0.579,0.205,0.812,0.802
2000,0.714,0.683,0.516,0.377,NA,0.728
2001,0.791,0.720,0.613,0.534,NA,0.710
2002,0.674,0.647,0.850,0.581,0.634,0.675
2003,0.666,0.593,0.630,0.570,0.560,0.546
2004,0.680,0.704,0.574,0.549,0.682,0.657
2005,0.508,0.729,0.645,0.652,0.479,0.787
2006,0.701,0.701,0.413,0.504,0.452,0.722
2007,0.661,0.744,0.747,0.515,0.676,0.698
2008,0.602,0.818,0.581,0.505,0.645,0.749
2010,0.709,0.547,0.642,0.547,0.738,0.600
2011,NA,NA,NA,NA,0.630,0.544
2012,0.975,0.608,0.487,0.600,0.630,0.483
2013,NA,0.809,0.719,0.525,0.626,0.651
2014,0.667,0.617,0.490,0.607,0.447,0.681
2015,0.708,0.867,0.745,0.521,0.491,0.802
2016,0.723,0.788,0.549,0.590,0.551,0.815
2017,0.752,NA,0.571,0.507,0.666,0.737
