Siteid,year,spname,CountOfsp,Rank-A,adj rank,Sumofnumcaught,Relative-A,,No 11 and 13,,adjusted rank 5 or 10,,,Blue - Native,Yellow -NN
1,1993,SKR,101,1,1,262,0.385496183,,,,,,,D Blue- RBT,Orange- LMB
1,1993,COT,57,2,2,262,0.217557252,,,,,,,Purple-COT,Green- SKR
1,1993,SBK,41,3,3,262,0.15648855,,,,,,,,
1,1993,LMB,21,4,4,262,0.080152672,,,,,,,,
1,1993,RBT,15,5,5,262,0.057251908,,,,,,,,
1,1993,BGS,7,6,6,262,0.026717557,,,,,,,,
1,1993,TUP,7,7,7,262,0.026717557,,,,,,,,
1,1993,GSF,4,8,8,262,0.015267176,,,,,,,,
1,1993,GLF,3,9,9,262,0.011450382,,,,,,,,
1,1993,PKM,3,10,10,262,0.011450382,,,,,,,,
1,1993,CRP,2,11,11,262,0.007633588,,,,,,,,
1,1993,BLP,1,12,12,262,0.003816794,,empty,,,,,,
1,1994,SKR,102,1,10,236,0.43220339,,,,,,,,
1,1994,SBK,65,2,11,236,0.275423729,,,,,,,,
1,1994,COT,33,3,12,236,0.139830508,,,,,,,,
1,1994,LMB,21,4,13,236,0.088983051,,,,,,,,
1,1994,TUP,5,5,14,236,0.021186441,,,,,,,,
1,1994,BGS,2,6,15,236,0.008474576,,,,,,,,
1,1994,PKM,2,7,16,236,0.008474576,,,,,,,,
1,1994,PLR,2,8,17,236,0.008474576,,,,,,,,
1,1994,BLP,1,9,18,236,0.004237288,,,,,,,,
1,1994,GSF,1,10,19,236,0.004237288,,,,,,,,
1,1994,MSQ,1,11,20,236,0.004237288,,,,,,,,
1,1994,RBT,1,12,21,236,0.004237288,,native vs nonative,,,,,,
1,1995,COT,131,1,20,258,0.507751938,,,,,,,,
1,1995,SKR,89,2,21,258,0.34496124,,,,,,,,
1,1995,PKM,17,3,22,258,0.065891473,,,,,,,,
1,1995,SBK,10,4,23,258,0.03875969,,,,,,,,
1,1995,TUP,8,5,24,258,0.031007752,,,,,,,,
1,1995,GSF,2,6,25,258,0.007751938,,,,,,,,
1,1995,BGS,1,7,26,258,0.003875969,,,,,,,,
1,1996,SBK,80,1,30,290,0.275862069,,,,,,,,
1,1996,PKM,69,2,31,290,0.237931034,,,,,,,,
1,1996,SKR,54,3,32,290,0.186206897,,LMB vs RBT ,,,,,,
1,1996,COT,40,4,33,290,0.137931034,,,,,,,,
1,1996,GSF,18,5,34,290,0.062068966,,,,,,,,
1,1996,BGS,9,6,35,290,0.031034483,,,,,,,,
1,1996,BLP,7,7,36,290,0.024137931,,,,,,,,
1,1996,CRP,6,8,37,290,0.020689655,,,,,,,,
1,1996,RCH,3,9,38,290,0.010344828,,,,,,,,
1,1996,RBT,2,10,39,290,0.006896552,,,,,,,,
1,1996,LMB,1,11,40,290,0.003448276,,,,,,,,
1,1996,TUP,1,12,41,290,0.003448276,,,,,,,,
1,1997,COT,73,1,40,208,0.350961538,,,,,,,,
1,1997,SKR,51,2,41,208,0.245192308,,,,,,,,
1,1997,SBK,34,3,42,208,0.163461538,,,,,,,,
1,1997,PKM,17,4,43,208,0.081730769,,,,,,,,
1,1997,GSF,12,5,44,208,0.057692308,,,,,,,,
1,1997,BGS,6,6,45,208,0.028846154,,,,,,,,
1,1997,RBT,6,7,46,208,0.028846154,,,,,,,,
1,1997,CRP,4,8,47,208,0.019230769,,,,,,,,
1,1997,GLF,2,9,48,208,0.009615385,,,,,,,,
1,1997,SMB,2,10,49,208,0.009615385,,,,,,,,
1,1997,LMB,1,11,50,208,0.004807692,,"LMB and COT (purple) or SKR (green), lose RBT after site B ",,,,,,
1,1998,GSF,57,1,50,172,0.331395349,,,,,,,,
1,1998,COT,32,2,51,172,0.186046512,,,,,,,,
1,1998,SKR,28,3,52,172,0.162790698,,,,,,,,
1,1998,BGS,18,4,53,172,0.104651163,,,,,,,,
1,1998,SBK,16,5,54,172,0.093023256,,,,,,,,
1,1998,RBT,10,6,55,172,0.058139535,,,,,,,,
1,1998,BLP,3,7,56,172,0.01744186,,,,,,,,
1,1998,GLF,2,8,57,172,0.011627907,,,,,,,,
1,1998,PKM,2,9,58,172,0.011627907,,,,,,,,
1,1998,BBH,1,10,59,172,0.005813953,,,,,,,,
1,1998,CRP,1,11,60,172,0.005813953,,,,,,,,
1,1998,LEP,1,12,61,172,0.005813953,,,,,,,,
1,1998,TUP,1,13,62,172,0.005813953,,,,,,,,
1,1999,SKR,323,1,60,515,0.627184466,,,,,,,,
1,1999,COT,68,2,61,515,0.132038835,,,,,,,,
1,1999,SBK,34,3,62,515,0.066019417,,,,,,,,
1,1999,BGS,26,4,63,515,0.050485437,,,,,,,,
1,1999,RBT,26,5,64,515,0.050485437,,,,,,,,
1,1999,GSF,16,6,65,515,0.031067961,,,,,,,,
1,1999,PLR,9,7,66,515,0.017475728,,,,,,,,
1,1999,PKM,8,8,67,515,0.015533981,,,,,,,,
1,1999,RCH,4,9,68,515,0.00776699,,,,,,,,
1,1999,GLF,1,10,69,515,0.001941748,,,,,,,,
1,2000,SKR,206,1,70,535,0.385046729,,,,,,,,
1,2000,COT,138,2,71,535,0.257943925,,,,,,,,
1,2000,SBK,67,3,72,535,0.125233645,,,,,,,,
1,2000,RBT,61,4,73,535,0.114018692,,,,,,,,
1,2000,PKM,30,5,74,535,0.056074766,,,,,,,,
1,2000,BGS,11,6,75,535,0.020560748,,,,,,,,
1,2000,GSF,9,7,76,535,0.01682243,,,,,,,,
1,2000,PLR,9,8,77,535,0.01682243,,,,,,,,
1,2000,LMB,3,9,78,535,0.005607477,,,,,,,,
1,2000,RCH,1,10,79,535,0.001869159,,,,,,,,
1,2001,SKR,108,1,80,324,0.333333333,,,,,,,,
1,2001,RBT,81,2,81,324,0.25,,,,,,,,
1,2001,COT,60,3,82,324,0.185185185,,,,,,,,
1,2001,SBK,57,4,83,324,0.175925926,,,,,,,,
1,2001,PKM,12,5,84,324,0.037037037,,,,,,,,
1,2001,BGS,4,7,85,324,0.012345679,,,,,,,,
1,2001,PLR,2,7,86,324,0.00617284,,,,,,,,
1,2002,SBK,197,1,90,422,0.466824645,,,,,,,,
1,2002,RBT,94,2,91,422,0.222748815,,,,,,,,
1,2002,COT,85,3,92,422,0.201421801,,,,,,,,
1,2002,SKR,40,4,93,422,0.09478673,,,,,,,,
1,2002,BGS,2,5,94,422,0.004739336,,,,,,,,
1,2002,MSQ,2,6,95,422,0.004739336,,,,,,,,
1,2002,PKM,2,7,96,422,0.004739336,,,,,,,,
1,2003,COT,150,1,100,444,0.337837838,,,,,,,,
1,2003,SBK,101,2,101,444,0.227477477,,,,,,,,
1,2003,SKR,90,3,102,444,0.202702703,,,,,,,,
1,2003,RBT,56,4,103,444,0.126126126,,,,,,,,
1,2003,TUP,15,5,104,444,0.033783784,,,,,,,,
1,2003,GSF,12,6,105,444,0.027027027,,,,,,,,
1,2003,PKM,10,7,106,444,0.022522523,,,,,,,,
1,2003,PLR,4,8,107,444,0.009009009,,,,,,,,
1,2003,LMB,2,9,108,444,0.004504505,,,,,,,,
1,2003,BBH,1,10,109,444,0.002252252,,,,,,,,
1,2003,BGS,1,11,110,444,0.002252252,,,,,,,,
1,2003,CHN,1,12,111,444,0.002252252,,,,,,,,
1,2003,LEP,1,13,112,444,0.002252252,,,,,,,,
1,2004,SKR,153,1,110,415,0.368674699,,,,,,,,
1,2004,RBT,76,2,111,415,0.18313253,,,,,,,,
1,2004,SBK,70,3,112,415,0.168674699,,,,,,,,
1,2004,COT,51,4,113,415,0.122891566,,,,,,,,
1,2004,BGS,23,5,114,415,0.055421687,,,,,,,,
1,2004,GSF,14,6,115,415,0.03373494,,,,,,,,
1,2004,PLR,11,7,116,415,0.026506024,,,,,,,,
1,2004,PKM,10,8,117,415,0.024096386,,,,,,,,
1,2004,ISS,2,9,118,415,0.004819277,,,,,,,,
1,2004,BCR,1,10,119,415,0.002409639,,,,,,,,
1,2004,BLP,1,11,120,415,0.002409639,,,,,,,,
1,2004,LMB,1,12,121,415,0.002409639,,,,,,,,
1,2004,RCH,1,13,122,415,0.002409639,,,,,,,,
1,2004,SMB,1,14,123,415,0.002409639,,,,,,,,
1,2005,SKR,272,1,120,449,0.605790646,,,,,,,,
1,2005,COT,92,2,121,449,0.204899777,,,,,,,,
1,2005,RBT,30,3,122,449,0.066815145,,,,,,,,
1,2005,PKM,16,4,123,449,0.035634744,,,,,,,,
1,2005,ISS,12,5,124,449,0.026726058,,,,,,,,
1,2005,GSF,7,6,125,449,0.0155902,,,,,,,,
1,2005,BGS,6,7,126,449,0.013363029,,,,,,,,
1,2005,SBK,6,8,127,449,0.013363029,,,,,,,,
1,2005,PLR,3,9,128,449,0.006681514,,,,,,,,
1,2005,TUP,2,10,129,449,0.004454343,,,,,,,,
1,2005,BBH,1,11,130,449,0.002227171,,,,,,,,
1,2005,CRP,1,12,131,449,0.002227171,,,,,,,,
1,2005,LMB,1,13,132,449,0.002227171,,,,,,,,
1,2006,SKR,94,1,130,310,0.303225806,,,,,,,,
1,2006,RBT,82,2,131,310,0.264516129,,,,,,,,
1,2006,COT,71,3,132,310,0.229032258,,,,,,,,
1,2006,SBK,41,4,133,310,0.132258065,,,,,,,,
1,2006,GSF,8,5,134,310,0.025806452,,,,,,,,
1,2006,BGS,6,6,135,310,0.019354839,,,,,,,,
1,2006,BLP,4,7,136,310,0.012903226,,,,,,,,
1,2006,PKM,2,8,137,310,0.006451613,,,,,,,,
1,2006,ISS,1,9,138,310,0.003225806,,,,,,,,
1,2006,TUP,1,10,139,310,0.003225806,,,,,,,,
1,2007,SBK,103,1,140,228,0.451754386,,,,,,,,
