SITE,YEAR,BBH,BCR,BGS,BLP,BRB,CCF,CHN,COT,CRP,FHM,GLF,GSF,GSH,ISS,LEP,LMB,MSQ,PKM,PLR,PMK,RBT,RCH,RES,RSH,SAP,SBF,SBK,SKR,SMB,SPB,STB,TUP,WCF,WRM,YFG
1,1993,0,0,7,1,0,0,0,57,2,0,3,4,0,0,0,21,0,3,0,0,15,0,0,0,0,0,41,101,0,0,0,7,0,0,0
1,1994,0,0,2,1,0,0,0,33,0,0,0,1,0,0,0,21,1,2,2,0,1,0,0,0,0,0,65,102,0,0,0,5,0,0,0
1,1995,0,0,1,0,0,0,0,131,0,0,0,2,0,0,0,0,0,17,0,0,0,0,0,0,0,0,10,89,0,0,0,8,0,0,0
1,1996,0,0,9,7,0,0,0,40,6,0,0,18,0,0,0,1,0,69,0,0,2,3,0,0,0,0,80,54,0,0,0,1,0,0,0
1,1997,0,0,6,0,0,0,0,73,4,0,2,12,0,0,0,1,0,17,0,0,6,0,0,0,0,0,34,51,2,0,0,0,0,0,0
1,1998,1,0,18,3,0,0,0,32,1,0,2,57,0,0,1,0,0,2,0,0,10,0,0,0,0,0,16,28,0,0,0,1,0,0,0
1,1999,0,0,26,0,0,0,0,68,0,0,1,16,0,0,0,0,0,8,9,0,26,4,0,0,0,0,34,323,0,0,0,0,0,0,0
1,2000,0,0,11,0,0,0,0,138,0,0,0,9,0,0,0,3,0,30,9,0,61,1,0,0,0,0,67,206,0,0,0,0,0,0,0
1,2001,0,0,4,0,0,0,0,60,0,0,0,0,0,0,0,0,0,12,2,0,81,0,0,0,0,0,57,108,0,0,0,0,0,0,0
1,2002,0,0,2,0,0,0,0,85,0,0,0,0,0,0,0,0,2,2,0,0,94,0,0,0,0,0,197,40,0,0,0,0,0,0,0
1,2003,1,0,1,0,0,0,1,150,0,0,0,12,0,0,1,2,0,10,4,0,56,0,0,0,0,0,101,90,0,0,0,15,0,0,0
1,2004,0,1,23,1,0,0,0,51,0,0,0,14,0,2,0,1,0,10,11,0,76,1,0,0,0,0,70,153,1,0,0,0,0,0,0
1,2005,1,0,6,0,0,0,0,92,1,0,0,7,0,12,0,1,0,16,3,0,30,0,0,0,0,0,6,272,0,0,0,2,0,0,0
1,2006,0,0,6,4,0,0,0,71,0,0,0,8,0,1,0,0,0,2,0,0,82,0,0,0,0,0,41,94,0,0,0,1,0,0,0
1,2007,0,0,0,0,0,0,0,68,0,0,0,2,0,0,0,0,0,1,0,0,38,0,0,0,0,0,103,15,0,0,0,1,0,0,0
1,2008,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,2,2,0,0,0,0,0,0,0
1,2010,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,1,0,7,3,0,31,0,0,0,0,0,133,42,0,0,0,0,0,0,0
1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2012,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,38,0,0,68,0,0,0,0,0,50,29,0,0,0,0,0,0,0
1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2014,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,2,0,11,2,0,80,0,0,0,0,0,130,5,0,0,0,0,0,0,0
1,2015,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,1,0,12,1,0,36,0,0,0,0,0,22,32,0,0,0,1,0,0,0
1,2016,0,0,7,0,0,0,2,151,0,0,0,2,0,0,0,8,0,36,5,0,77,0,0,0,0,0,81,67,0,1,0,0,0,0,0
1,2017,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,38,0,0,33,0,0,0,0,0,10,137,0,0,0,1,0,0,0
3,1993,0,0,0,14,0,0,0,0,1,0,3,14,0,0,0,72,0,1,0,0,0,0,1,0,0,0,0,3,1,0,0,14,0,0,0
3,1994,0,0,1,19,0,0,0,1,0,0,0,3,0,0,0,50,0,1,0,0,0,0,4,0,0,0,0,1,3,0,0,11,0,0,0
3,1995,0,0,36,26,0,0,0,3,1,0,1,18,0,0,0,38,4,1,1,0,0,0,6,0,0,0,0,2,15,0,0,14,0,0,0
3,1996,0,0,3,7,0,0,0,0,1,0,0,29,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,2,6,0,0,0,1,0,0
3,1997,0,0,15,22,0,0,0,5,0,0,0,8,0,0,1,17,3,2,2,0,0,0,0,0,0,0,1,7,8,0,0,12,0,0,0
3,1998,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,1,0,18,2,0,0,0,1,0,0,0,2,63,4,0,0,13,0,0,0
3,1999,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,2,3,40,11,0,0,0,0,0,0,0,0,63,4,0,0,12,0,0,0
3,2000,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,15,3,77,1,0,0,0,0,0,0,0,0,77,1,0,0,61,0,0,0
3,2001,0,0,0,0,0,0,0,35,0,0,0,2,0,0,0,0,1,93,0,0,0,0,0,0,0,0,0,185,0,0,0,122,0,0,0
3,2002,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,2,203,2,0,0,0,0,0,0,0,3,179,1,0,0,252,0,0,0
3,2003,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,54,3,0,2,0,0,0,0,0,2,53,0,0,0,248,0,0,0
3,2004,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,45,5,0,1,0,0,0,0,0,1,70,0,0,0,79,0,0,0
3,2005,0,0,0,0,0,0,0,45,0,0,0,1,0,0,0,0,0,38,0,0,6,0,0,0,0,0,1,51,0,0,0,107,0,0,0
3,2006,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,31,1,0,5,0,0,0,0,0,2,29,0,0,0,75,0,0,0
3,2007,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0,9,0,0,4,0,0,0,0,0,1,24,0,0,0,49,0,0,0
3,2008,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,3,0,0,6,0,0,0,0,0,2,7,0,0,0,21,0,0,0
3,2010,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,13,2,0,0,0,0,0,0,0,3,20,0,0,0,108,0,0,0
3,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2012,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,2,48,0,0,0,95,0,0,0
3,2013,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0,19,83,0,0,0,51,0,0,0
3,2014,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,10,0,0,5,0,0,0,0,0,3,36,0,0,0,91,0,0,0
3,2015,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,4,0,0,8,0,0,0,0,0,1,11,0,0,0,7,0,0,0
3,2016,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,4,0,0,5,0,0,0,0,0,0,3,0,0,0,30,0,0,0
3,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1993,4,0,21,9,5,2,0,0,59,0,3,22,0,0,23,38,0,9,0,0,0,0,0,0,0,7,0,37,1,0,0,0,0,0,0
5,1994,0,0,68,0,9,0,0,0,16,0,0,53,0,0,2,169,50,5,0,0,0,0,0,0,0,4,0,4,5,0,0,2,0,0,0
5,1995,0,0,72,3,0,0,0,0,1,0,0,16,0,0,1,24,2,8,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
5,1996,0,1,34,6,0,0,0,9,0,0,0,48,0,0,1,13,0,22,1,0,0,0,0,0,1,0,0,15,3,0,0,0,0,0,0
5,1997,0,0,21,19,0,1,0,0,0,0,0,48,0,0,0,25,0,68,0,0,0,0,0,0,0,0,0,9,15,0,0,5,0,0,0
5,1998,0,0,4,1,0,3,0,0,0,1,0,24,0,0,0,20,4,151,3,0,0,0,0,1,0,0,0,47,4,0,0,1,0,0,0
5,1999,0,0,2,11,0,0,0,1,0,0,0,0,0,0,0,8,0,160,2,0,5,0,0,0,0,0,0,43,14,0,0,23,1,0,0
5,2000,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,5,168,0,0,0,0,0,1,0,0,0,51,4,0,0,34,2,0,0
5,2001,0,0,2,9,0,0,0,1,0,0,1,20,0,0,0,25,6,135,3,0,0,0,0,0,0,0,0,13,16,0,0,5,1,0,0
5,2002,0,0,0,3,0,0,0,0,0,0,0,12,0,1,0,23,9,35,2,0,0,0,0,0,0,0,0,7,15,0,0,10,0,0,0
