Siteid,year,spname,CountOfsp,Adjusted Rank,Sumofnumcaught,Relative-A,RANK ,no 11 and 17,,Blue - Native,Orange -NN,,,,,,,,,,,,
3,1993,LMB,72,1,124,0.580645161,1,,,D Blue- RBT,D Orange- LMB,,,,,,,,,,,,
3,1993,BLP,14,2,124,0.112903226,2,,,,,,,,,,,,,,,,
3,1993,GSF,14,3,124,0.112903226,3,,EMPTY,,,,,,,,,,,,,,
3,1993,TUP,14,4,124,0.112903226,4,,,,,,,,,,,,,,,,
3,1993,GLF,3,5,124,0.024193548,5,,,,,,,,,,,,,,,,
3,1993,SKR,3,6,124,0.024193548,6,,,,,,,,,,,,,,,,
3,1993,CRP,1,7,124,0.008064516,7,,,,,,,,,,,,,,,,
3,1993,PKM,1,8,124,0.008064516,8,,,,,,,,,,,,,,,,
3,1993,RES,1,9,124,0.008064516,9,,,,,,,,,,,,,,,,
3,1993,SMB,1,10,124,0.008064516,10,,,,,,,,,,,,,,,,
3,1994,LMB,50,10,94,0.531914894,1,,,,,,,,,,,,,,,,
3,1994,BLP,19,11,94,0.20212766,2,,,,,,,,,,,,,,,,
3,1994,TUP,11,12,94,0.117021277,3,,,,,,,,,,,,,,,,
3,1994,RES,4,13,94,0.042553191,4,,,,,,,,,,,,,,,,
3,1994,GSF,3,14,94,0.031914894,5,,,,,,,,,,,,,,,,
3,1994,SMB,3,15,94,0.031914894,6,,,,,,,,,,,,,,,,
3,1994,BGS,1,16,94,0.010638298,7,,,,,,,,,,,,,,,,
3,1994,COT,1,17,94,0.010638298,8,,,,,,,,,,,,,,,,
3,1994,PKM,1,18,94,0.010638298,9,,,,,,,,,,,,,,,,
3,1994,SKR,1,19,94,0.010638298,10,,,,,,,,,,,,,,,,
3,1995,LMB,38,20,166,0.228915663,1,,LMB VS RBT,,,,,,,,,,,,,,
3,1995,BGS,36,21,166,0.21686747,2,,,,,,,,,,,,,,,,
3,1995,BLP,26,22,166,0.156626506,3,,,,,,,,,,,,,,,,
3,1995,GSF,18,23,166,0.108433735,4,,,,,,,,,,,,,,,,
3,1995,SMB,15,24,166,0.090361446,5,,,,,,,,,,,,,,,,
3,1995,TUP,14,25,166,0.084337349,6,,,,,,,,,,,,,,,,
3,1995,RES,6,26,166,0.036144578,7,,,,,,,,,,,,,,,,
3,1995,MSQ,4,27,166,0.024096386,8,,,,,,,,,,,,,,,,
3,1995,COT,3,28,166,0.018072289,9,,,,,,,,,,,,,,,,
3,1995,SKR,2,29,166,0.012048193,10,,,,,,,,,,,,,,,,
3,1995,CRP,1,30,166,0.006024096,11,,,,,,,,,,,,,,,,
3,1995,GLF,1,31,166,0.006024096,12,,,,,,,,,,,,,,,,
3,1995,PKM,1,32,166,0.006024096,13,,,,,,,,,,,,,,,,
3,1995,PLR,1,33,166,0.006024096,14,,,,,,,,,,,,,,,,
3,1996,GSF,29,30,57,0.50877193,1,,,,,,,,,,,,,,,,
3,1996,BLP,7,31,57,0.122807018,2,,,,,,,,,,,,,,,,
3,1996,SMB,6,32,57,0.105263158,3,,,,,,,,,,,,,,,,
3,1996,PKM,5,33,57,0.087719298,4,,,,,,,,,,,,,,,,
3,1996,BGS,3,34,57,0.052631579,5,,,,,,,,,,,,,,,,
3,1996,LMB,3,35,57,0.052631579,6,,,,,,,,,,,,,,,,
3,1996,SKR,2,36,57,0.035087719,7,,,,,,,,,,,,,,,,
3,1996,CRP,1,37,57,0.01754386,8,,,,,,,,,,,,,,,,
3,1996,WCF,1,38,57,0.01754386,9,,,,,,,,,,,,,,,,
3,1997,BLP,22,40,103,0.213592233,1,,,,,,,,,,,,,,,,
3,1997,LMB,17,41,103,0.165048544,2,,,,,,,,,,,,,,,,
3,1997,BGS,15,42,103,0.145631068,3,,,,,,,,,,,,,,,,
3,1997,TUP,12,43,103,0.116504854,4,,,,,,,,,,,,,,,,
3,1997,GSF,8,44,103,0.077669903,5,,,,,,,,,,,,,,,,
3,1997,SMB,8,45,103,0.077669903,6,,,,,,,,,,,,,,,,
3,1997,SKR,7,46,103,0.067961165,7,,,,,,,,,,,,,,,,
3,1997,COT,5,47,103,0.048543689,8,,,,,,,,,,,,,,,,
3,1997,MSQ,3,48,103,0.029126214,9,,,,,,,,,,,,,,,,
3,1997,PKM,2,49,103,0.019417476,10,,,,,,,,,,,,,,,,
3,1997,PLR,2,50,103,0.019417476,11,,,,,,,,,,,,,,,,
3,1997,LEP,1,51,103,0.009708738,12,,,,,,,,,,,,,,,,
3,1997,SBK,1,52,103,0.009708738,13,,,,,,,,,,,,,,,,
3,1998,SKR,63,50,113,0.557522124,1,,,,,,,,,,,,,,,,
3,1998,PKM,18,51,113,0.159292035,2,,,,,,,,,,,,,,,,
3,1998,TUP,13,52,113,0.115044248,3,,,,,,,,,,,,,,,,
3,1998,COT,6,53,113,0.053097345,4,,,,,,,,,,,,,,,,
3,1998,SMB,4,54,113,0.03539823,5,,,,,,,,,,,,,,,,
3,1998,GSF,3,55,113,0.026548673,6,,,,,,,,,,,,,,,,
3,1998,PLR,2,56,113,0.017699115,7,,,,,,,,,,,,,,,,
3,1998,SBK,2,57,113,0.017699115,8,,,,,,,,,,,,,,,,
3,1998,LMB,1,58,113,0.008849558,9,,,,,,,,,,,,,,,,
3,1998,RES,1,59,113,0.008849558,10,,,,,,,,,,,,,,,,
3,1999,SKR,63,60,142,0.443661972,1,,,,,,,,,,,,,,,,
3,1999,PKM,40,61,142,0.281690141,2,,,,,,,,,,,,,,,,
3,1999,TUP,12,62,142,0.084507042,3,,,,,,,,,,,,,,,,
3,1999,PLR,11,63,142,0.077464789,4,,,,,,,,,,,,,,,,
3,1999,COT,5,64,142,0.035211268,5,,,,,,,,,,,,,,,,
3,1999,SMB,4,65,142,0.028169014,6,,,,,,,,,,,,,,,,
3,1999,MSQ,3,66,142,0.021126761,7,,,,,,,,,,,,,,,,
3,1999,GSF,2,67,142,0.014084507,8,,,,,,,,,,,,,,,,
3,1999,LMB,2,68,142,0.014084507,9,,,,,,,,,,,,,,,,
3,2000,PKM,77,70,247,0.311740891,1,,,,,,,,,,,,,,,,
3,2000,SKR,77,71,247,0.311740891,2,,,,,,,,,,,,,,,,
3,2000,TUP,61,72,247,0.246963563,3,,,,,,,,,,,,,,,,
3,2000,LMB,15,73,247,0.060728745,4,,,,,,,,,,,,,,,,
3,2000,COT,11,74,247,0.044534413,5,,,,,,,,,,,,,,,,
3,2000,MSQ,3,75,247,0.012145749,6,,,,,,,,,,,,,,,,
3,2000,BLP,1,76,247,0.004048583,7,,,,,,,,,,,,,,,,
3,2000,PLR,1,77,247,0.004048583,8,,,,,,,,,,,,,,,,
3,2000,SMB,1,78,247,0.004048583,9,,,,,,,,,,,,,,,,
3,2001,SKR,185,80,438,0.422374429,1,,,,,,,,,,,,,,,,
3,2001,TUP,122,81,438,0.278538813,2,,,,,,,,,,,,,,,,
3,2001,PKM,93,82,438,0.212328767,3,,,,,,,,,,,,,,,,
3,2001,COT,35,83,438,0.079908676,4,,,,,,,,,,,,,,,,
3,2001,GSF,2,84,438,0.00456621,5,,,,,,,,,,,,,,,,
3,2001,MSQ,1,85,438,0.002283105,6,,,,,,,,,,,,,,,,
3,2002,TUP,252,90,698,0.361031519,1,,,,,,,,,,,,,,,,
3,2002,PKM,203,91,698,0.290830946,2,,,,,,,,,,,,,,,,
3,2002,SKR,179,92,698,0.256446991,3,,,,,,,,,,,,,,,,
3,2002,COT,56,93,698,0.080229226,4,,,,,,,,,,,,,,,,
3,2002,SBK,3,94,698,0.004297994,5,,,,,,,,,,,,,,,,
3,2002,MSQ,2,95,698,0.00286533,6,,,,,,,,,,,,,,,,
3,2002,PLR,2,96,698,0.00286533,7,,,,,,,,,,,,,,,,
3,2002,SMB,1,97,698,0.001432665,8,,,,,,,,,,,,,,,,
3,2003,TUP,248,100,402,0.616915423,1,,,,,,,,,,,,,,,,
3,2003,PKM,54,101,402,0.134328358,2,,,,,,,,,,,,,,,,
3,2003,SKR,53,102,402,0.131840796,3,,,,,,,,,,,,,,,,
3,2003,COT,40,103,402,0.099502488,4,,,,,,,,,,,,,,,,
3,2003,PLR,3,104,402,0.007462687,5,,,,,,,,,,,,,,,,
3,2003,RBT,2,105,402,0.004975124,6,,,,,,,,,,,,,,,,
3,2003,SBK,2,106,402,0.004975124,7,,,,,,,,,,,,,,,,
3,2004,TUP,79,110,214,0.369158879,1,,,,,,,,,,,,,,,,
3,2004,SKR,70,111,214,0.327102804,2,,,,,,,,,,,,,,,,
3,2004,PKM,45,112,214,0.210280374,3,,,,,,,,,,,,,,,,
3,2004,COT,13,113,214,0.060747664,4,,,,,,,,,,,,,,,,
3,2004,PLR,5,114,214,0.023364486,5,,,,,,,,,,,,,,,,
3,2004,RBT,1,115,214,0.004672897,6,,,,,,,,,,,,,,,,
3,2004,SBK,1,116,214,0.004672897,7,,,,,,,,,,,,,,,,
3,2005,TUP,107,120,249,0.429718876,1,,,,,,,,,,,,,,,,
3,2005,SKR,51,121,249,0.204819277,2,,,,,,,,,,,,,,,,
3,2005,COT,45,122,249,0.180722892,3,,,,,,,,,,,,,,,,
3,2005,PKM,38,123,249,0.152610442,4,,,,,,,,,,,,,,,,
3,2005,RBT,6,124,249,0.024096386,5,,,,,,,,,,,,,,,,
3,2005,GSF,1,125,249,0.004016064,6,,,,,,,,,,,,,,,,
3,2005,SBK,1,126,249,0.004016064,7,,,,,,,,,,,,,,,,
3,2006,TUP,75,130,164,0.457317073,1,,,,,,,,,,,,,,,,
3,2006,PKM,31,131,164,0.18902439,2,,,,,,,,,,,,,,,,
3,2006,SKR,29,132,164,0.176829268,3,,,,,,,,,,,,,,,,
3,2006,COT,20,133,164,0.12195122,4,,,,,,,,,,,,,,,,
3,2006,RBT,5,134,164,0.030487805,5,,,,,,,,,,,,,,,,
3,2006,SBK,2,135,164,0.012195122,6,,,,,,,,,,,,,,,,
3,2006,BGS,1,136,164,0.006097561,7,,,,,,,,,,,,,,,,
3,2006,PLR,1,137,164,0.006097561,8,,,,,,,,,,,,,,,,
3,2007,TUP,49,140,109,0.449541284,1,,,,,,,,,,,,,,,,
3,2007,SKR,24,141,109,0.220183486,2,,,,,,,,,,,,,,,,
3,2007,COT,20,142,109,0.183486239,3,,,,,,,,,,,,,,,,
3,2007,PKM,9,143,109,0.082568807,4,,,,,,,,,,,,,,,,
3,2007,RBT,4,144,109,0.036697248,5,,,,,,,,,,,,,,,,
3,2007,LMB,2,145,109,0.018348624,6,,,,,,,,,,,,,,,,
3,2007,SBK,1,146,109,0.009174312,7,,,,,,,,,,,,,,,,
3,2008,TUP,21,150,51,0.411764706,1,,,,,,,,,,,,,,,,
3,2008,COT,11,151,51,0.215686275,2,,,,,,,,,,,,,,,,
3,2008,SKR,7,152,51,0.137254902,3,,,,,,,,,,,,,,,,
3,2008,RBT,6,153,51,0.117647059,4,,,,,,,,,,,,,,,,
3,2008,PKM,3,154,51,0.058823529,5,,,,,,,,,,,,,,,,
3,2008,SBK,2,155,51,0.039215686,6,,,,,,,,,,,,,,,,
3,2008,MSQ,1,156,51,0.019607843,7,,,,,,,,,,,,,,,,
3,2010,TUP,108,160,157,0.687898089,1,,,,,,,,,,,,,,,,
3,2010,SKR,20,161,157,0.127388535,2,,,,,,,,,,,,,,,,
3,2010,PKM,13,162,157,0.082802548,3,,,,,,,,,,,,,,,,
3,2010,COT,10,163,157,0.063694268,4,,,,,,,,,,,,,,,,
3,2010,SBK,3,164,157,0.01910828,5,,,,,,,,,,,,,,,,
3,2010,PLR,2,165,157,0.012738854,6,,,,,,,,,,,,,,,,
3,2010,GSF,1,166,157,0.006369427,7,,,,,,,,,,,,,,,,
3,2012,TUP,95,170,163,0.582822086,1,,,,,,,,,,,,,,,,
3,2012,SKR,48,171,163,0.294478528,2,,,,,,,,,,,,,,,,
3,2012,COT,7,172,163,0.042944785,3,,,,,,,,,,,,,,,,
3,2012,RBT,7,173,163,0.042944785,4,,,,,,,,,,,,,,,,
3,2012,PKM,4,174,163,0.024539877,5,,,,,,,,,,,,,,,,
3,2012,SBK,2,175,163,0.012269939,6,,,,,,,,,,,,,,,,
3,2013,SKR,83,180,190,0.436842105,1,,,,,,,,,,,,,,,,
3,2013,TUP,51,181,190,0.268421053,2,,,,,,,,,,,,,,,,
3,2013,COT,19,182,190,0.1,3,,,,,,,,,,,,,,,,
3,2013,SBK,19,183,190,0.1,4,,,,,,,,,,,,,,,,
3,2013,PKM,14,184,190,0.073684211,5,,,,,,,,,,,,,,,,
