Siteid,year,spname,CountOfsp,Rank-A,adj rank,Sumofnumcaught,Relative-A,no 2011,,,Blue - Native,Orange -NN
5,1993,CRP,59,1,1,240,0.245833333,,,,D Blue- RBT,D Orange- LMB
5,1993,LMB,38,2,2,240,0.158333333,,,,,
5,1993,SKR,37,3,3,240,0.154166667,,,,,
5,1993,LEP,23,4,4,240,0.095833333,,,,,
5,1993,GSF,22,5,5,240,0.091666667,,,,,
5,1993,BGS,21,6,6,240,0.0875,,,,,
5,1993,BLP,9,7,7,240,0.0375,,,,,
5,1993,PKM,9,8,8,240,0.0375,,,,,
5,1993,SBF,7,9,9,240,0.029166667,,,,,
5,1993,BRB,5,10,10,240,0.020833333,,,,,
5,1993,BBH,4,11,11,240,0.016666667,,,,,
5,1993,GLF,3,12,12,240,0.0125,,,,,
5,1993,CCF,2,13,13,240,0.008333333,,,,,
5,1993,SMB,1,14,14,240,0.004166667,,,,,
5,1994,LMB,169,1,10,387,0.436692506,,,,,
5,1994,BGS,68,2,11,387,0.175710594,,,,,
5,1994,GSF,53,3,12,387,0.136950904,,,,,
5,1994,MSQ,50,4,13,387,0.129198966,,,,,
5,1994,CRP,16,5,14,387,0.041343669,,,,,
5,1994,BRB,9,6,15,387,0.023255814,,,,,
5,1994,PKM,5,7,16,387,0.012919897,,,,,
5,1994,SMB,5,8,17,387,0.012919897,,LMB VS RBT,,,
5,1994,SBF,4,9,18,387,0.010335917,,,,,
5,1994,SKR,4,10,19,387,0.010335917,,,,,
5,1994,LEP,2,11,20,387,0.005167959,,,,,
5,1994,TUP,2,12,21,387,0.005167959,,,,,
5,1995,BGS,72,1,20,130,0.553846154,,,,,
5,1995,LMB,24,2,21,130,0.184615385,,,,,
5,1995,GSF,16,3,22,130,0.123076923,,,,,
5,1995,PKM,8,4,23,130,0.061538462,,,,,
5,1995,BLP,3,5,24,130,0.023076923,,,,,
5,1995,MSQ,2,6,25,130,0.015384615,,,,,
5,1995,SMB,2,7,26,130,0.015384615,,,,,
5,1995,CRP,1,8,27,130,0.007692308,,,,,
5,1995,LEP,1,9,28,130,0.007692308,,,,,
5,1995,RES,1,10,29,130,0.007692308,,,,,
5,1996,GSF,48,1,30,154,0.311688312,,,,,
5,1996,BGS,34,2,31,154,0.220779221,,,,,
5,1996,PKM,22,3,32,154,0.142857143,,,,,
5,1996,SKR,15,4,33,154,0.097402597,,,,,
5,1996,LMB,13,5,34,154,0.084415584,,,,,
5,1996,COT,9,6,35,154,0.058441558,,,,,
5,1996,BLP,6,7,36,154,0.038961039,,,,,
5,1996,SMB,3,8,37,154,0.019480519,,,,,
5,1996,BCR,1,9,38,154,0.006493506,,,,,
5,1996,LEP,1,10,39,154,0.006493506,,,,,
5,1996,PLR,1,11,40,154,0.006493506,,,,,
5,1996,SAP,1,12,41,154,0.006493506,,,,,
5,1997,PKM,68,1,40,211,0.322274882,,,,,
