Siteid,year,spname,CountOfsp,Rank-A,adj rank,Sumofnumcaught,Relative-A,,no 2011,,Blue - Native,Orange-NN
6,1993,LMB,60,1,1,166,0.361445783,,,,D Blue- RBT,D orange- LMB
6,1993,BGS,51,2,2,166,0.307228916,,,,,
6,1993,COT,19,3,3,166,0.114457831,,,,,
6,1993,BBH,12,4,4,166,0.072289157,,,,,
6,1993,SKR,12,5,5,166,0.072289157,,,,,
6,1993,LEP,5,6,6,166,0.030120482,,,,,
6,1993,PKM,4,7,7,166,0.024096386,,,,,
6,1993,GSF,2,8,8,166,0.012048193,,,,,
6,1993,SMB,1,9,9,166,0.006024096,,,,,
6,1994,BGS,159,1,10,358,0.444134078,,,,,
6,1994,MSQ,100,2,11,358,0.279329609,,,,,
6,1994,LMB,57,3,12,358,0.159217877,,,,,
6,1994,GSF,10,4,13,358,0.027932961,,,,,
6,1994,SKR,7,5,14,358,0.019553073,,,,,
6,1994,COT,5,6,15,358,0.01396648,,,,,
6,1994,BBH,4,7,16,358,0.011173184,,,,,
6,1994,BLP,3,8,17,358,0.008379888,,,,,
6,1994,BRB,3,9,18,358,0.008379888,,,,,
6,1994,GLF,3,10,19,358,0.008379888,,,,,
6,1994,LEP,3,11,20,358,0.008379888,,,,,
6,1994,PKM,3,12,21,358,0.008379888,,,,,
6,1994,CRP,1,13,22,358,0.002793296,,LMB VS RBT,,,
6,1995,BGS,123,1,20,267,0.460674157,,,,,
6,1995,LMB,39,2,21,267,0.146067416,,,,,
6,1995,GSF,31,3,22,267,0.116104869,,,,,
6,1995,MSQ,25,4,23,267,0.093632959,,,,,
6,1995,BLP,21,5,24,267,0.078651685,,,,,
6,1995,PKM,9,6,25,267,0.033707865,,,,,
6,1995,BBH,3,7,26,267,0.011235955,,,,,
6,1995,CRP,3,8,27,267,0.011235955,,,,,
6,1995,LEP,3,9,28,267,0.011235955,,,,,
6,1995,SKR,3,10,29,267,0.011235955,,,,,
6,1995,CCF,1,11,30,267,0.003745318,,,,,
6,1995,COT,1,12,31,267,0.003745318,,,,,
6,1995,GLF,1,13,32,267,0.003745318,,,,,
6,1995,ISS,1,14,33,267,0.003745318,,,,,
6,1995,RES,1,15,34,267,0.003745318,,,,,
6,1995,SBF,1,16,35,267,0.003745318,,,,,
6,1995,TUP,1,17,36,267,0.003745318,,,,,
6,1996,BGS,105,1,30,256,0.41015625,,,,,
6,1996,GSF,73,2,31,256,0.28515625,,,,,
6,1996,BLP,39,3,32,256,0.15234375,,,,,
6,1996,LMB,12,4,33,256,0.046875,,,,,
