Siteid,year,spname,CountOfsp,Rank-A,adj rank,Sumofnumcaught,Relative-A,,2000 and 2001,,,Blue - Native,Orange-NN
9,1993,BGS,137,1,1,192,0.713541667,,,,,D Blue- RBT,D orange - LMB
9,1993,LMB,13,2,2,192,0.067708333,,,,,,
9,1993,MSQ,12,3,3,192,0.0625,,,,,,
9,1993,CRP,8,4,4,192,0.041666667,,,,,,
9,1993,BLP,6,5,5,192,0.03125,,,,,,
9,1993,FHM,6,6,6,192,0.03125,,,,,,
9,1993,LEP,4,7,7,192,0.020833333,,,,,,
9,1993,GSF,2,8,8,192,0.010416667,,,,,,
9,1993,SBF,2,9,9,192,0.010416667,,,,,,
9,1993,COT,1,10,10,192,0.005208333,,,,,,
9,1993,SKR,1,11,11,192,0.005208333,,,,,,
9,1994,BGS,364,1,10,463,0.786177106,,,,,,
9,1994,LMB,27,2,11,463,0.058315335,,,,,,
9,1994,MSQ,25,3,12,463,0.05399568,,,,,,
9,1994,CRP,12,4,13,463,0.025917927,,,,,,
9,1994,SKR,9,5,14,463,0.019438445,,,,,,
9,1994,COT,8,6,15,463,0.017278618,,,,,,
9,1994,LEP,5,7,16,463,0.010799136,,,,,,
9,1994,GLF,4,8,17,463,0.008639309,,,,,,
9,1994,GSF,4,9,18,463,0.008639309,,,,,,
9,1994,BLP,3,10,19,463,0.006479482,,,,,,
9,1994,BCR,1,11,20,463,0.002159827,,,,,,
9,1994,SBF,1,12,21,463,0.002159827,,LMB VS RBT,,,,
9,1995,BGS,196,1,20,267,0.734082397,,,,,,
9,1995,GSF,16,2,21,267,0.059925094,,,,,,
9,1995,LMB,15,3,22,267,0.056179775,,,,,,
9,1995,ISS,14,4,23,267,0.052434457,,,,,,
9,1995,LEP,8,5,24,267,0.029962547,,,,,,
9,1995,BCR,6,6,25,267,0.02247191,,,,,,
9,1995,MSQ,3,7,26,267,0.011235955,,,,,,
9,1995,CRP,2,8,27,267,0.007490637,,,,,,
9,1995,FHM,2,9,28,267,0.007490637,,,,,,
9,1995,RES,2,10,29,267,0.007490637,,,,,,
9,1995,BLP,1,11,30,267,0.003745318,,,,,,
9,1995,GLF,1,12,31,267,0.003745318,,,,,,
9,1995,RCH,1,13,32,267,0.003745318,,,,,,
9,1996,BGS,177,1,30,275,0.643636364,,,,,,
9,1996,MSQ,50,2,31,275,0.181818182,,,,,,
9,1996,LMB,15,3,32,275,0.054545455,,,,,,
9,1996,GSF,10,4,33,275,0.036363636,,,,,,
9,1996,BBH,5,5,34,275,0.018181818,,,,,,
9,1996,ISS,4,6,35,275,0.014545455,,,,,,
9,1996,SKR,4,7,36,275,0.014545455,,,,,,
9,1996,LEP,3,8,37,275,0.010909091,,,,,,
9,1996,BLP,2,9,38,275,0.007272727,,,,,,
9,1996,SBF,2,10,39,275,0.007272727,,,,,,
9,1996,COT,1,11,40,275,0.003636364,,,,,,
9,1996,GLF,1,12,41,275,0.003636364,,,,,,
9,1996,WRM,1,13,42,275,0.003636364,,,,,,
9,1997,BGS,41,1,40,73,0.561643836,,,,,,
9,1997,LMB,19,2,41,73,0.260273973,,,,,,
9,1997,RSH,4,3,42,73,0.054794521,,,,,,
9,1997,BLP,2,4,43,73,0.02739726,,,,,,
