Siteid,year,spname,CountOfsp,Rank-A,adj rank,Sumofnumcaught,Relative-A,,,Blue - Native,Orange -NN,,
10,1993,BGS,524,1,1,657,0.797564688,,,D Blue- RBT,D Orange- LMB,,
10,1993,GSF,40,2,2,657,0.060882801,,,,,,
10,1993,BBH,22,3,3,657,0.03348554,,,,,,
10,1993,ISS,21,4,4,657,0.03196347,,,,,,
10,1993,LMB,9,5,5,657,0.01369863,,,,,,
10,1993,COT,8,6,6,657,0.01217656,,,,,,
10,1993,CRP,6,7,7,657,0.00913242,,,,,,
10,1993,GLF,6,8,8,657,0.00913242,,,,,,
10,1993,SBF,6,9,9,657,0.00913242,,,,,,
10,1993,BCR,4,10,10,657,0.00608828,,,,,,
10,1993,BLP,4,11,11,657,0.00608828,,,,,,
10,1993,FHM,3,12,12,657,0.00456621,,,,,,
10,1993,SKR,2,13,13,657,0.00304414,,,,,,
10,1993,MSQ,1,14,14,657,0.00152207,,,,,,
10,1993,WRM,1,15,15,657,0.00152207,,,,,,
10,1994,MSQ,1769,1,10,2008,0.880976096,,,,,,
10,1994,FHM,157,2,11,2008,0.078187251,,,,,,
10,1994,GSF,32,3,12,2008,0.015936255,,,,,,
10,1994,BBH,17,4,13,2008,0.008466135,,,,,,
10,1994,ISS,16,5,14,2008,0.007968127,,,,,,
10,1994,BGS,7,6,15,2008,0.003486056,,,,,,
10,1994,LEP,3,7,16,2008,0.001494024,,,,,,
10,1994,COT,2,8,17,2008,0.000996016,,LMB VS RBT,,,,
10,1994,GLF,2,9,18,2008,0.000996016,,,,,,
10,1994,SBF,2,10,19,2008,0.000996016,,,,,,
10,1994,CRP,1,11,20,2008,0.000498008,,,,,,
10,1995,BGS,320,1,20,459,0.697167756,,,,,,
10,1995,MSQ,52,2,21,459,0.11328976,,,,,,
10,1995,FHM,36,3,22,459,0.078431373,,,,,,
10,1995,BBH,13,4,23,459,0.02832244,,,,,,
10,1995,GSF,13,5,24,459,0.02832244,,,,,,
10,1995,COT,8,6,25,459,0.017429194,,,,,,
10,1995,LMB,6,7,26,459,0.013071895,,,,,,
10,1995,ISS,3,8,27,459,0.006535948,,,,,,
10,1995,SBF,3,9,28,459,0.006535948,,,,,,
10,1995,CRP,2,10,29,459,0.004357298,,,,,,
10,1995,BCR,1,11,30,459,0.002178649,,,,,,
10,1995,GLF,1,12,31,459,0.002178649,,,,,,
10,1995,RCH,1,13,32,459,0.002178649,,,,,,
10,1996,BGS,144,1,30,224,0.642857143,,,,,,
10,1996,FHM,20,2,31,224,0.089285714,,,,,,
10,1996,GSF,15,3,32,224,0.066964286,,,,,,
10,1996,SBF,14,4,33,224,0.0625,,,,,,
10,1996,LMB,7,5,34,224,0.03125,,,,,,
10,1996,RSH,4,6,35,224,0.017857143,,,,,,
10,1996,BCR,3,7,36,224,0.013392857,,,,,,
10,1996,BLP,3,8,37,224,0.013392857,,,,,,
10,1996,MSQ,3,9,38,224,0.013392857,,,,,,
10,1996,CCF,2,10,39,224,0.008928571,,,,,,
10,1996,CRP,2,11,40,224,0.008928571,,,,,,
10,1996,GLF,2,12,41,224,0.008928571,,,,,,
10,1996,COT,1,13,42,224,0.004464286,,,,,,
10,1996,ISS,1,14,43,224,0.004464286,,,,,,
10,1996,PKM,1,15,44,224,0.004464286,,,,,,
10,1996,SKR,1,16,45,224,0.004464286,,,,,,
10,1996,TUP,1,17,46,224,0.004464286,,,,,,
10,1997,BGS,61,1,40,117,0.521367521,,,,,,
10,1997,GSF,23,2,41,117,0.196581197,,,,,,
10,1997,CRP,8,3,42,117,0.068376068,,,,,,
10,1997,LMB,6,4,43,117,0.051282051,,,,,,
10,1997,BLP,5,5,44,117,0.042735043,,,,,,
10,1997,FHM,4,6,45,117,0.034188034,,,,,,
10,1997,MSQ,3,7,46,117,0.025641026,,,,,,
10,1997,GLF,2,8,47,117,0.017094017,,,,,,
10,1997,BCR,1,9,48,117,0.008547009,,,,,,
10,1997,CCF,1,10,49,117,0.008547009,,,,,,
10,1997,STB,1,11,50,117,0.008547009,,,,,,
