year_pair,MRS,year_pair,MRS,year_pair,MRS,year_pair,MRS,year_pair,MRS,year_pair,MRS
1993-1994,1.2,1993-1994,1.375,1993-1994,3,1993-1994,1.625,1993-1994,1.6,1993-1994,3.2
1994-1995,1.57142857142857,1994-1995,1.8,1994-1995,1.25,1994-1995,2.41666666666667,1994-1995,2.11111111111111,1994-1995,1.7
1995-1996,1.71428571428571,1995-1996,2.375,1995-1996,0.857142857142857,1995-1996,1.4,1995-1996,1.125,1995-1996,2.36363636363636
1996-1997,1.22222222222222,1996-1997,2.28571428571429,1996-1997,1.71428571428571,1996-1997,1.25,1996-1997,1.33333333333333,1996-1997,1.8
1997-1998,1.88888888888889,1997-1998,2.88888888888889,1997-1998,1.66666666666667,1997-1998,2,1997-1998,1,1997-1998,1.42857142857143
1998-1999,1.5,1998-1999,0.875,1998-1999,1.875,1998-1999,0.6,1998-1999,0.875,1998-1999,2.125
1999-2000,0.777777777777778,1999-2000,1.375,1999-2000,0.571428571428571,1999-2000,0.2,1999-2002,0.714285714285714,1999-2000,2.2
2000-2001,0.571428571428571,2000-2001,0.6,2000-2001,2,2000-2001,1.6,2002-2003,1,2000-2001,4.15384615384615
2001-2002,1.16666666666667,2001-2002,0.8,2001-2002,1.11111111111111,2001-2002,2.54545454545455,2003-2004,0.4,2001-2002,1.1
2002-2003,1.16666666666667,2002-2003,0.333333333333333,2002-2003,1,2002-2003,2.44444444444444,2004-2005,0.6,2002-2003,0.571428571428571
2003-2004,1.77777777777778,2003-2004,0.285714285714286,2003-2004,1.75,2003-2004,2.5,2005-2006,1.4,2003-2004,1.125
2004-2005,2,2004-2005,0.5,2004-2005,1.14285714285714,2004-2005,2,2006-2007,0.444444444444444,2004-2005,1.4
2005-2006,1.66666666666667,2005-2006,0.666666666666667,2005-2006,1,2005-2006,1.11111111111111,2007-2008,1,2005-2006,1.09090909090909
2006-2007,1.28571428571429,2006-2007,0.666666666666667,2006-2007,1.66666666666667,2006-2007,0.875,2008-2010,2,2006-2007,1.45454545454545
2007-2008,1.2,2007-2008,0.666666666666667,2007-2008,1.375,2007-2008,0,2010-2011,0.857142857142857,2007-2008,1.75
2008-2010,1.6,2008-2010,0.8,2008-2010,0.875,2008-2010,0.625,2011-2012,1.28571428571429,2008-2010,1.33333333333333
2010-2012,1.6,2010-2012,0.4,2010-2012,1.2,2010-2012,0.625,2012-2013,1.6,2010-2011,1.125
2012-2014,0.4,2012-2013,1.16666666666667,2012-2013,1.2,2012-2013,0.333333333333333,2013-2014,1,2011-2012,0.75
2014-2015,1.14285714285714,2013-2014,1.66666666666667,2013-2014,0.6,2013-2014,0.428571428571429,2014-2015,1.6,2012-2013,1.8
2015-2016,0.714285714285714,2014-2015,1.71428571428571,2014-2015,0.6,2014-2015,1.125,2015-2016,0.666666666666667,2013-2014,1.72727272727273
2016-2017,2,2015-2016,2.5,2015-2016,0,2015-2016,1.55555555555556,2016-2017,0.666666666666667,2014-2015,1.54545454545455
1993-1994,1.2,1993-1994,1.375,2016-2017,0.5,2016-2017,1.25,1993-1994,1.6,2015-2016,1.6
1994-1995,1.57142857142857,1994-1995,1.8,1993-1994,3,1993-1994,1.625,1994-1995,2.11111111111111,2016-2017,1.6
